model,score,rating_q025,rating_q975,CI,avg_tokens,date
o1-mini-2024-09-12,91.98,90.71,93.03,"(-1.27, +1.05)",1399.0,2025-01-18
o1-preview-2024-09-12,90.38,89.44,91.63,"(-0.94, +1.25)",1193.0,2025-01-18
claude-3-5-sonnet-20241022,85.22,83.58,86.71,"(-1.64, +1.49)",691.0,2025-01-18
athene-v2-chat,85.04,83.75,86.15,"(-1.29, +1.11)",884.0,2025-01-18
llama-3.1-nemotron-70b-instruct,84.91,83.04,86.64,"(-1.87, +1.73)",869.0,2025-01-18
gpt-4-turbo-2024-04-09,82.63,80.99,84.29,"(-1.64, +1.66)",662.0,2025-01-18
yi-lightning,81.55,79.86,83.17,"(-1.69, +1.62)",875.0,2025-01-18
claude-3-5-sonnet-20240620,79.35,77.15,81.58,"(-2.20, +2.23)",567.0,2025-01-18
gpt-4o-2024-05-13,79.21,77.32,80.89,"(-1.89, +1.68)",696.0,2025-01-18
qwen2.5-72b-instruct,78.05,76.33,79.89,"(-1.72, +1.84)",821.0,2025-01-18
gpt-4-0125-preview,77.96,76.25,79.44,"(-1.71, +1.48)",619.0,2025-01-18
gpt-4o-2024-08-06,77.89,76.23,79.43,"(-1.66, +1.54)",594.0,2025-01-18
athene-70b-0725,76.83,75.03,78.65,"(-1.80, +1.82)",683.0,2025-01-18
gpt-4o-mini-2024-07-18,74.94,72.43,77.59,"(-2.51, +2.65)",668.0,2025-01-18
sky-T1-32B-Preview,74.79,72.87,76.59,"(-1.92, +1.80)",847.0,2025-01-18
gemini-1.5-pro-api-0514,71.96,69.58,74.07,"(-2.38, +2.11)",676.0,2025-01-18
yi-large-preview,71.48,69.43,73.47,"(-2.05, +1.99)",720.0,2025-01-18
mistral-large-2407,70.42,67.97,72.82,"(-2.45, +2.40)",623.0,2025-01-18
llama-3.1-405b-instruct-fp8,69.33,66.34,71.37,"(-2.99, +2.04)",658.0,2025-01-18
qwen2.5-32b-instruct,66.51,64.62,68.49,"(-1.89, +1.98)",611.0,2025-01-18
llama-3.1-405b-instruct-fp8-no-sys-prompt,64.2,61.5,66.48,"(-2.70, +2.28)",635.0,2025-01-18
glm-4-0520,63.84,61.48,65.95,"(-2.36, +2.11)",636.0,2025-01-18
yi-large,63.7,62.08,66.48,"(-1.62, +2.78)",626.0,2025-01-18
deepseek-coder-v2,62.3,59.79,64.3,"(-2.51, +2.00)",578.0,2025-01-18
claude-3-opus-20240229,60.36,57.91,62.99,"(-2.45, +2.63)",541.0,2025-01-18
gemma-2-27b-it,57.51,55.17,59.88,"(-2.34, +2.37)",577.0,2025-01-18
llama-3.1-70b-instruct,55.73,53.51,58.89,"(-2.22, +3.16)",628.0,2025-01-18
glm-4-0116,55.72,53.27,57.81,"(-2.45, +2.09)",622.0,2025-01-18
gemini-1.5-pro-api-0409-preview,53.37,50.53,55.87,"(-2.84, +2.50)",478.0,2025-01-18
glm-4-air,50.88,48.6,53.37,"(-2.28, +2.49)",619.0,2025-01-18
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-01-18
gemini-1.5-flash-api-0514,49.61,47.36,52.35,"(-2.25, +2.74)",642.0,2025-01-18
qwen2-72b-instruct,46.86,44.7,49.29,"(-2.16, +2.43)",515.0,2025-01-18
claude-3-sonnet-20240229,46.8,44.44,49.17,"(-2.36, +2.37)",552.0,2025-01-18
llama-3-70b-instruct,46.57,43.86,49.52,"(-2.71, +2.95)",591.0,2025-01-18
llama-3.1-nemotron-51b-instruct,45.41,43.12,47.36,"(-2.29, +1.95)",747.0,2025-01-18
gemma-2-9b-it,41.99,39.87,44.25,"(-2.12, +2.26)",541.0,2025-01-18
claude-3-haiku-20240307,41.47,39.55,44.3,"(-1.92, +2.83)",505.0,2025-01-18
qwq-32b-preview,39.46,36.76,41.42,"(-2.70, +1.96)",2401.0,2025-01-18
gpt-4-0613,37.9,35.26,39.94,"(-2.64, +2.04)",354.0,2025-01-18
mistral-large-2402,37.71,35.25,40.28,"(-2.46, +2.57)",400.0,2025-01-18
mixtral-8x22b-instruct-v0.1,36.36,34.25,38.8,"(-2.11, +2.44)",430.0,2025-01-18
qwen1.5-72b-chat,36.12,33.82,39.21,"(-2.30, +3.09)",474.0,2025-01-18
phi-3-medium-4k-instruct,33.37,31.16,35.09,"(-2.21, +1.72)",517.0,2025-01-18
command-r-plus,33.07,30.81,35.7,"(-2.26, +2.63)",541.0,2025-01-18
mistral-medium,31.9,29.24,34.18,"(-2.66, +2.28)",485.0,2025-01-18
internlm2-20b-5-chat,31.2,29.11,33.0,"(-2.09, +1.80)",576.0,2025-01-18
phi-3-small-8k-instruct,29.77,27.4,31.46,"(-2.37, +1.69)",568.0,2025-01-18
mistral-next,27.37,25.07,29.64,"(-2.30, +2.27)",297.0,2025-01-18
gpt-3.5-turbo-0613,24.82,22.33,27.08,"(-2.49, +2.26)",401.0,2025-01-18
dbrx-instruct-preview,24.63,22.33,26.96,"(-2.30, +2.33)",415.0,2025-01-18
internlm2-20b-chat,24.45,22.36,26.35,"(-2.09, +1.90)",667.0,2025-01-18
claude-2.0,23.99,22.36,25.76,"(-1.63, +1.77)",295.0,2025-01-18
mixtral-8x7b-instruct-v0.1,23.4,21.59,25.28,"(-1.81, +1.88)",457.0,2025-01-18
gpt-3.5-turbo-0125,23.34,21.06,25.61,"(-2.28, +2.27)",329.0,2025-01-18
yi-34b-chat,23.15,21.0,24.78,"(-2.15, +1.63)",611.0,2025-01-18
starling-lm-7b-beta,23.01,20.82,24.53,"(-2.19, +1.52)",530.0,2025-01-18
claude-2.1,22.77,21.06,24.96,"(-1.71, +2.19)",290.0,2025-01-18
llama-3.1-8b-instruct,21.34,19.49,23.24,"(-1.85, +1.90)",861.0,2025-01-18
snorkel-mistral-pairrm-dpo,20.73,18.88,22.41,"(-1.85, +1.68)",564.0,2025-01-18
llama-3-8b-instruct,20.56,18.43,22.51,"(-2.13, +1.95)",585.0,2025-01-18
gpt-3.5-turbo-1106,18.87,16.97,20.36,"(-1.90, +1.49)",285.0,2025-01-18
gpt-3.5-turbo-0314,18.05,16.53,19.68,"(-1.52, +1.63)",334.0,2025-01-18
gemini-pro,17.8,16.03,19.46,"(-1.77, +1.66)",322.0,2025-01-18
snowflake-arctic-instruct,17.61,16.1,19.62,"(-1.51, +2.01)",365.0,2025-01-18
command-r,17.02,15.2,18.6,"(-1.82, +1.58)",432.0,2025-01-18
phi-3-mini-128k-instruct,15.43,13.63,16.98,"(-1.80, +1.55)",609.0,2025-01-18
tulu-2-dpo-70b,14.99,13.65,16.66,"(-1.34, +1.67)",550.0,2025-01-18
starling-lm-7b-alpha,12.8,11.64,14.14,"(-1.16, +1.34)",483.0,2025-01-18
mistral-7b-instruct,12.57,10.93,14.21,"(-1.64, +1.64)",541.0,2025-01-18
gemma-1.1-7b-it,12.09,10.68,13.37,"(-1.41, +1.28)",341.0,2025-01-18
llama-2-70b-chat,11.55,10.04,12.54,"(-1.51, +0.99)",595.0,2025-01-18
