model,score,rating_q025,rating_q975,CI,avg_tokens,date
o1-mini-2024-09-12,91.98,90.86,93.13,"(-1.12, +1.15)",1399.0,2025-01-27
o1-preview-2024-09-12,90.38,89.47,91.67,"(-0.91, +1.29)",1193.0,2025-01-27
claude-3-5-sonnet-20241022,85.22,83.64,86.46,"(-1.58, +1.24)",691.0,2025-01-27
athene-v2-chat,85.04,83.28,86.24,"(-1.76, +1.20)",884.0,2025-01-27
llama-3.1-nemotron-70b-instruct,84.91,83.34,86.79,"(-1.57, +1.88)",869.0,2025-01-27
gpt-4-turbo-2024-04-09,82.63,81.03,84.08,"(-1.60, +1.45)",662.0,2025-01-27
yi-lightning,81.55,79.83,83.11,"(-1.72, +1.56)",875.0,2025-01-27
claude-3-5-sonnet-20240620,79.35,77.32,81.34,"(-2.03, +1.99)",567.0,2025-01-27
gpt-4o-2024-05-13,79.21,77.41,80.66,"(-1.80, +1.45)",696.0,2025-01-27
qwen2.5-72b-instruct,78.05,76.2,80.03,"(-1.85, +1.98)",821.0,2025-01-27
gpt-4-0125-preview,77.96,75.93,79.89,"(-2.03, +1.93)",619.0,2025-01-27
gpt-4o-2024-08-06,77.89,75.8,79.68,"(-2.09, +1.79)",594.0,2025-01-27
athene-70b-0725,76.83,75.0,78.92,"(-1.83, +2.09)",683.0,2025-01-27
gpt-4o-mini-2024-07-18,74.94,73.05,76.96,"(-1.89, +2.02)",668.0,2025-01-27
sky-T1-32B-Preview,74.79,72.41,76.8,"(-2.38, +2.01)",847.0,2025-01-27
gemini-1.5-pro-api-0514,71.96,70.09,74.05,"(-1.87, +2.09)",676.0,2025-01-27
yi-large-preview,71.48,69.55,73.81,"(-1.93, +2.33)",720.0,2025-01-27
mistral-large-2407,70.42,68.22,72.65,"(-2.20, +2.23)",623.0,2025-01-27
llama-3.1-405b-instruct-fp8,69.33,66.76,71.22,"(-2.57, +1.89)",658.0,2025-01-27
qwen2.5-32b-instruct,66.51,64.03,68.75,"(-2.48, +2.24)",611.0,2025-01-27
llama-3.1-405b-instruct-fp8-no-sys-prompt,64.2,61.61,66.57,"(-2.59, +2.37)",635.0,2025-01-27
