model,score,rating_q025,rating_q975,CI,avg_tokens,date
o1-mini-2024-09-12,91.98,90.88,93.12,"(-1.10, +1.14)",1399.0,2025-01-23
o1-preview-2024-09-12,90.38,89.44,91.63,"(-0.94, +1.25)",1193.0,2025-01-23
claude-3-5-sonnet-20241022,85.22,83.65,86.48,"(-1.57, +1.26)",691.0,2025-01-23
athene-v2-chat,85.04,83.33,86.33,"(-1.71, +1.29)",884.0,2025-01-23
llama-3.1-nemotron-70b-instruct,84.91,83.05,86.48,"(-1.86, +1.57)",869.0,2025-01-23
gpt-4-turbo-2024-04-09,82.63,81.16,84.05,"(-1.47, +1.42)",662.0,2025-01-23
yi-lightning,81.55,79.79,83.14,"(-1.76, +1.59)",875.0,2025-01-23
claude-3-5-sonnet-20240620,79.35,77.13,80.84,"(-2.22, +1.49)",567.0,2025-01-23
gpt-4o-2024-05-13,79.21,77.62,81.12,"(-1.59, +1.91)",696.0,2025-01-23
qwen2.5-72b-instruct,78.05,75.99,79.87,"(-2.06, +1.82)",821.0,2025-01-23
gpt-4-0125-preview,77.96,76.5,80.17,"(-1.46, +2.21)",619.0,2025-01-23
gpt-4o-2024-08-06,77.89,76.12,79.42,"(-1.77, +1.53)",594.0,2025-01-23
athene-70b-0725,76.83,74.82,78.75,"(-2.01, +1.92)",683.0,2025-01-23
gpt-4o-mini-2024-07-18,74.94,73.02,77.33,"(-1.92, +2.39)",668.0,2025-01-23
sky-T1-32B-Preview,74.79,72.28,76.8,"(-2.51, +2.01)",847.0,2025-01-23
gemini-1.5-pro-api-0514,71.96,70.19,73.81,"(-1.77, +1.85)",676.0,2025-01-23
yi-large-preview,71.48,69.44,73.9,"(-2.04, +2.42)",720.0,2025-01-23
mistral-large-2407,70.42,68.06,72.66,"(-2.36, +2.24)",623.0,2025-01-23
llama-3.1-405b-instruct-fp8,69.33,67.22,71.66,"(-2.11, +2.33)",658.0,2025-01-23
qwen2.5-32b-instruct,66.51,64.55,68.4,"(-1.96, +1.89)",611.0,2025-01-23
llama-3.1-405b-instruct-fp8-no-sys-prompt,64.2,61.65,66.46,"(-2.55, +2.26)",635.0,2025-01-23
glm-4-0520,63.84,61.75,66.14,"(-2.09, +2.30)",636.0,2025-01-23
yi-large,63.7,61.26,66.39,"(-2.44, +2.69)",626.0,2025-01-23
deepseek-coder-v2,62.3,59.81,64.28,"(-2.49, +1.98)",578.0,2025-01-23
claude-3-opus-20240229,60.36,57.69,62.62,"(-2.67, +2.26)",541.0,2025-01-23
gemma-2-27b-it,57.51,55.38,59.5,"(-2.13, +1.99)",577.0,2025-01-23
llama-3.1-70b-instruct,55.73,53.28,58.7,"(-2.45, +2.97)",628.0,2025-01-23
glm-4-0116,55.72,53.07,58.15,"(-2.65, +2.43)",622.0,2025-01-23
gemini-1.5-pro-api-0409-preview,53.37,50.79,56.22,"(-2.58, +2.85)",478.0,2025-01-23
qwq-32b-preview,52.6,50.86,54.91,"(-1.74, +2.31)",1005.0,2025-01-23
glm-4-air,50.88,47.97,52.95,"(-2.91, +2.07)",619.0,2025-01-23
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-01-23
gemini-1.5-flash-api-0514,49.61,47.17,52.28,"(-2.44, +2.67)",642.0,2025-01-23
qwen2-72b-instruct,46.86,44.74,49.43,"(-2.12, +2.57)",515.0,2025-01-23
claude-3-sonnet-20240229,46.8,44.63,49.07,"(-2.17, +2.27)",552.0,2025-01-23
llama-3-70b-instruct,46.57,43.7,49.37,"(-2.87, +2.80)",591.0,2025-01-23
llama-3.1-nemotron-51b-instruct,45.41,42.94,47.28,"(-2.47, +1.87)",747.0,2025-01-23
gemma-2-9b-it,41.99,39.39,44.34,"(-2.60, +2.35)",541.0,2025-01-23
claude-3-haiku-20240307,41.47,39.33,43.85,"(-2.14, +2.38)",505.0,2025-01-23
